cui,name,mesh_id,mesh_term
C0000737,Abdominal Pain,D015746,Abdominal Pain
C0001144,Acne Vulgaris,D000152,Acne Vulgaris
C0948089,Acute Coronary Syndrome,D054058,Acute Coronary Syndrome
C1961102,Precursor Cell Lymphoblastic Leukemia Lymphoma,D054198,Acute Lymphoblastic Leukemia
C0023440,Acute Erythroblastic Leukemia,D004915,Acute Erythroblastic Leukemia
C0184567,Acute onset pain,D059787,Acute Pain
C0023487,Acute Promyelocytic Leukemia,D015473,AML M3
C0001403,Addison Disease,D000224,Addison Disease
C0001973,"Alcoholic Intoxication, Chronic",D000437,"Addiction, Alcohol"
C0019187,"Hepatitis, Alcoholic",D006519,Alcoholic Hepatitis
C0009766,Allergic Conjunctivitis,D003233,Allergic Conjunctivitides
C2607914,Allergic rhinitis (disorder),D065631,Allergic Rhinitides
C0020517,Hypersensitivity,D006967,Allergies
C0002395,Alzheimer's Disease,D000544,Alzheimer Dementia
C0002453,Amenorrhea,D000568,Amenorrhea
C0002736,Amyotrophic Lateral Sclerosis,D000690,ALS (Amyotrophic Lateral Sclerosis)
C0002170,Alopecia,D000505,Alopecia
C0002888,"Anemia, Megaloblastic",D000749,"Anemia, Megaloblastic"
C0002915,General Anesthesia,D000768,"Anesthesia, General"
C0002934,Local Anesthetics,D000779,"Anesthetics, Conduction Blocking"
C0002962,Angina Pectoris,D000787,Angina Pectoris
C0002994,Angioedema,D000799,Angioedema
C0019243,"Angioedemas, Hereditary",D054179,"Angioedema, Hereditary"
C0003123,Anorexia,D000855,Anorexia
C0003377,"Antimetabolites, Antineoplastic",D000964,"Antimetabolites, Antineoplastic"
C0003467,Anxiety,D001007,Anxiety
C0003469,Anxiety Disorders,D001008,Anxiety Disorder
C0002874,Aplastic Anemia,D000741,"Anemia, Aplastic"
C0003615,Appendicitis,D001064,Appendicitis
C0003811,Cardiac Arrhythmia,D001145,Arrhythmia
C0003864,Arthritis,D001168,Arthritides
C0003868,"Arthritis, Gouty",D015210,"Arthritides, Gouty"
C0003873,Rheumatoid Arthritis,D001172,"Arthritis, Rheumatoid"
C0003962,Ascites,D001201,Ascites
C0004096,Asthma,D001249,Asthma
C0004153,Atherosclerosis,D050197,Atheroscleroses
C0040259,Tinea Pedis,D014008,Athlete Foot
C0004238,Atrial Fibrillation,D001281,Atrial Fibrillation
C1263846,Attention deficit hyperactivity disorder,D001289,ADDH
C0004604,Back Pain,D001416,"Ache, Back"
C0004623,Bacterial Infections,D001424,Bacterial Infection
C0085166,Bacterial Vaginosis,D016585,Bacterial Vaginitides
C0596170,Binge eating disorder,D056912,Binge Eating Disorder
C0005586,Bipolar Disorder,D001714,"Affective Psychosis, Bipolar"
C0005695,Bladder Neoplasm,D001749,Bladder Neoplasm
C0005741,Blepharitis,D001762,Blepharitides
C0005778,Blood coagulation,D001777,Blood Clotting
C1449809,Bovine Respiratory Disease Complex,D048090,Bovine Respiratory Disease Complex
C1458155,Mammary Neoplasms,D001943,Breast Neoplasm
C0006267,Bronchiectasis,D001987,Bronchiectases
C0006277,Bronchitis,D001991,Bronchitides
C0008677,"Bronchitis, Chronic",D029481,"Bronchitis, Chronic"
C2267227,Bulimia Nervosa,D052018,Bulimia Nervosa
C0006444,Bursitis,D002062,Bursitides
C0027651,Neoplasms,D009369,Neoplasia
C0006840,Candidiasis,D002177,Candidiases
C0007095,Carcinoid Tumor,D002276,Carcinoid
C0007117,Basal cell carcinoma,D002280,Basal Cell Carcinoma
C2239176,Liver carcinoma,D006528,Adult Liver Cancer
C0007131,Non-Small Cell Lung Carcinoma,D002289,"Carcinoma, Non Small Cell Lung"
C0007134,Renal Cell Carcinoma,D002292,Adenocarcinoma Of Kidney
C0007138,"Carcinoma, Transitional Cell",D002295,"Carcinoma, Transitional Cell"
C0018790,Cardiac Arrest,D006323,"Arrest, Cardiac"
C0007222,Cardiovascular Diseases,D002318,Cardiovascular Disease
C0086543,Cataract,D002386,Cataract
C0041234,Chagas Disease,D014355,American Trypanosomiasis
C0008325,Cholecystitis,D002764,Cholecystitis
C0008350,Cholelithiasis,D002769,Cholelithiases
C0008370,Cholestasis,D002779,Bile Duct Obstruction
C0600518,Choroidal Neovascularization,D020256,Choroid Neovascularization
C0524910,"Hepatitis C, Chronic",D019698,Chronic Hepatitis C
C0024117,Chronic Obstructive Airway Disease,D029424,COAD
C0149521,"Pancreatitis, Chronic",D050500,Chronic Pancreatitis
C0009062,Clostridium Infections,D003015,Clostridium Infection
C0009187,Coccidiosis,D003048,Coccidioses
C0009241,Cognition Disorders,D003072,Cognition Disorders
C0232488,Abdominal colic,D003085,Colic
C0009404,Colorectal Neoplasms,D015179,Colorectal Neoplasm
C0009443,Common Cold,D003139,"Cold, Common"
C0018801,Heart failure,D006333,Cardiac Failure
C0009763,Conjunctivitis,D003231,Conjunctivitides
C0009806,Constipation,D003248,Constipation
C1956346,Coronary Artery Disease,D003324,"Artery Disease, Coronary"
C0010068,Coronary heart disease,D003327,Coronary Disease
C0010200,Coughing,D003371,Cough
C0221406,Pituitary-dependent Cushing's disease,D047748,"ACTH Hypersecretion, Pituitary"
C0006846,Cutaneous Candidiasis,D002179,"Candidiases, Cutaneous"
C0010674,Cystic Fibrosis,D003550,Cystic Fibrosis
C0010692,Cystitis,D003556,Cystitides
C0206178,Cytomegalovirus Retinitis,D017726,Cytomegaloviral Retinitis
C1956064,Deep Sedation,D054810,Deep Sedation
C0497327,Dementia,D003704,Amentia
C0011334,Dental caries,D003731,"Caries, Dental"
C0038368,Stomatognathic Diseases,D009057,"Disease, Stomatognathic"
C0011570,Mental Depression,D003863,Depression
C0011581,Depressive disorder,D003866,Depressive Disorder
C1269683,Major Depressive Disorder,D003865,"Depressive Disorder, Major"
C0011603,Dermatitis,D003872,Dermatitides
C0011608,Dermatitis Herpetiformis,D003874,Dermatitis Herpetiformis
C0011615,"Dermatitis, Atopic",D003876,Atopic Dermatitides
C0011630,Dermatomycoses,D003881,Dermatomycoses
C0040247,Tinea,D014005,Dermatophytoses
C0037274,Dermatologic disorders,D012871,Dermatoses
C0011848,Diabetes Insipidus,D003919,Diabetes Insipidus
C0011860,"Diabetes Mellitus, Non-Insulin-Dependent",D003924,Adult-Onset Diabetes Mellitus
C0011882,Diabetic Neuropathies,D003929,Diabetic Neuropathies
C0011991,Diarrhea,D003967,Diarrhea
C0012358,Dilatation and Curettage,D004107,Curettage and Dilatation
C0236969,Substance-Related Disorders,D019966,Substance-Related Disorders
C0029944,Drug Overdose,D062787,Drug Overdose
C0013238,Dry Eye Syndromes,D015352,Dry Eye Syndrome
C0013295,Duodenal Ulcer,D004381,Duodenal Ulcer
C0020479,Hyperlipoproteinemia Type III,D006952,Broad Beta Disease
C0013369,Dysentery,D004403,"Diarrheal Disease, Infectious"
C0025874,Metrorrhagia,D008796,Bleeding Between Periods
C0013384,Dyskinetic syndrome,D020820,Abnormal Movement
C0013502,Echinococcosis,D004443,"Cyst, Hydatid"
C0013595,Eczema,D004485,"Dermatitides, Eczematous"
C0014121,Bacterial Endocarditis,D004697,Bacterial Endocarditides
C0014175,Endometriosis,D004715,Endometrioses
C0079278,"Endoscopy, Gastrointestinal",D016099,"Endoscopies, Gastrointestinal"
C0014544,Epilepsy,D004827,Epilepsies
C0242350,Erectile dysfunction,D007172,"Dysfunction, Erectile"
C0014836,Escherichia coli Infections,D004927,E coli Infection
C0950151,Estrous Cycle,D030762,"Cycle, Estrous"
C0015404,"Eye Infections, Bacterial",D015818,Bacterial Eye Infection
C0002986,Fabry Disease,D000795,Anderson Fabry Disease
C0206245,"Amyloid Neuropathies, Familial",D028227,"Amyloid Neuropathies, Familial"
C0031069,Familial Mediterranean Fever,D010505,Benign Paroxysmal Peritonitides
C0525042,Feeding and Eating Disorders of Childhood,D019959,Childhood Eating and Feeding Disorders
C0015967,Fever,D005334,Fever
C0016154,Fish Diseases,D005393,"Disease, Fish"
C0016719,Friedreich Ataxia,D005621,"Ataxia, Friedreich"
C0016977,Gall Bladder Diseases,D005705,"Bladder Disease, Gall"
C0017152,Gastritis,D005756,Gastritides
C0017178,Gastrointestinal Diseases,D005767,"Disease, Gastrointestinal"
C0017185,Gastrointestinal Neoplasms,D005770,Gastrointestinal Neoplasm
C0152020,Gastroparesis,D018589,Gastric Stases
C0017205,Gaucher Disease,D005776,Acid beta-Glucosidase Deficiency
C2314882,Reproductive tract infection,D060737,Genital Tract Infection
C0017601,Glaucoma,D005901,Glaucoma
C0017612,"Glaucoma, Open-Angle",D005902,Compensated Glaucoma
